Date,Close,Volume,DayOfWeek,Month
2021-04-30 16:00:00,337.99,38263421,4,4
2021-05-03 16:00:00,336.19,29729730,0,5
2021-05-04 16:00:00,330.14,65146972,1,5
2021-05-05 16:00:00,329.03,46219307,2,5
2021-05-06 16:00:00,331.51,46814283,3,5
2021-05-07 16:00:00,334.2,53324460,4,5
2021-05-10 16:00:00,325.76,60700462,0,5
2021-05-11 16:00:00,325.31,71963612,1,5
2021-05-12 16:00:00,316.89,91164855,2,5
2021-05-13 16:00:00,319.34,69877765,3,5
2021-05-14 16:00:00,326.39,44370015,4,5
2021-05-17 16:00:00,324.41,39394997,0,5
2021-05-18 16:00:00,322.22,36528454,1,5
2021-05-19 16:00:00,322.59,66319108,2,5
2021-05-20 16:00:00,328.83,46466135,3,5
2021-05-21 16:00:00,327.01,50330449,4,5
2021-05-24 16:00:00,332.51,32475771,0,5
2021-05-25 16:00:00,332.97,31280314,1,5
2021-05-26 16:00:00,334.13,25444932,2,5
2021-05-27 16:00:00,332.88,27931747,3,5
2021-05-28 16:00:00,333.93,29927449,4,5
2021-06-01 16:00:00,332.82,31145424,1,6
2021-06-02 16:00:00,333.47,22047940,2,6
2021-06-03 16:00:00,330.0,37057825,3,6
2021-06-04 16:00:00,335.6,38736545,4,6
2021-06-07 16:00:00,336.6,32611852,0,6
2021-06-08 16:00:00,336.76,27282819,1,6
2021-06-09 16:00:00,336.84,21485319,2,6
2021-06-10 16:00:00,340.35,33702067,3,6
2021-06-11 16:00:00,341.24,21222830,4,6
2021-06-14 16:00:00,344.51,27827716,0,6
2021-06-15 16:00:00,342.26,35963780,1,6
2021-06-16 16:00:00,341.01,55399538,2,6
2021-06-17 16:00:00,345.34,59722700,3,6
2021-06-18 16:00:00,342.63,55414862,4,6
2021-06-21 16:00:00,344.36,32992649,0,6
2021-06-22 16:00:00,347.57,28941626,1,6
2021-06-23 16:00:00,347.74,27188454,2,6
2021-06-24 16:00:00,349.89,32581605,3,6
2021-06-25 16:00:00,349.46,28682801,4,6
2021-06-28 16:00:00,353.71,39130305,0,6
2021-06-29 16:00:00,354.99,29426039,1,6
2021-06-30 16:00:00,354.43,32723964,2,6
2021-07-01 16:00:00,354.57,29289978,3,7
2021-07-02 16:00:00,358.64,32727244,4,7
2021-07-06 16:00:00,360.19,38842397,1,7
2021-07-07 16:00:00,360.95,35265242,2,7
2021-07-08 16:00:00,358.77,50890021,3,7
2021-07-09 16:00:00,361.01,35184534,4,7
2021-07-12 16:00:00,362.42,25717677,0,7
2021-07-13 16:00:00,362.42,39723015,1,7
2021-07-14 16:00:00,363.07,35336350,2,7
2021-07-15 16:00:00,360.52,53391557,3,7
2021-07-16 16:00:00,357.6,47261961,4,7
2021-07-19 16:00:00,354.67,64404625,0,7
2021-07-20 16:00:00,358.79,42183702,1,7
2021-07-21 16:00:00,361.56,30259860,2,7
2021-07-22 16:00:00,363.95,30252240,3,7
2021-07-23 16:00:00,368.2,31960799,4,7
2021-07-26 16:00:00,368.49,28438126,0,7
2021-07-27 16:00:00,364.43,57933148,1,7
2021-07-28 16:00:00,365.83,42066195,2,7
2021-07-29 16:00:00,366.48,25672533,3,7
2021-07-30 16:00:00,364.57,36484649,4,7
2021-08-02 16:00:00,364.6,27334097,0,8
2021-08-03 16:00:00,366.81,35558511,1,8
2021-08-04 16:00:00,367.34,29602236,2,8
2021-08-05 16:00:00,369.67,21443925,3,8
2021-08-06 16:00:00,368.05,33332107,4,8
2021-08-09 16:00:00,368.73,25960245,0,8
2021-08-10 16:00:00,366.84,35130796,1,8
2021-08-11 16:00:00,366.21,34249812,2,8
2021-08-12 16:00:00,367.53,26003877,3,8
2021-08-13 16:00:00,368.82,19336190,4,8
2021-08-16 16:00:00,368.98,35044107,0,8
2021-08-17 16:00:00,365.73,44793902,1,8
2021-08-18 16:00:00,362.21,38541940,2,8
2021-08-19 16:00:00,363.96,48499368,3,8
2021-08-20 16:00:00,367.73,39486034,4,8
2021-08-23 16:00:00,373.23,34034744,0,8
2021-08-24 16:00:00,374.37,21732913,1,8
2021-08-25 16:00:00,374.8,20441880,2,8
2021-08-26 16:00:00,372.42,29133325,3,8
2021-08-27 16:00:00,376.04,27104749,4,8
2021-08-30 16:00:00,380.26,27295665,0,8
2021-08-31 16:00:00,379.95,29628175,1,8
2021-09-01 16:00:00,380.58,28138311,2,9
2021-09-02 16:00:00,380.4,25503535,3,9
2021-09-03 16:00:00,381.57,24624937,4,9
2021-09-07 16:00:00,382.11,23970203,1,9
2021-09-08 16:00:00,380.78,32949159,2,9
2021-09-09 16:00:00,379.47,29398978,3,9
2021-09-10 16:00:00,376.59,40249405,4,9
2021-09-13 16:00:00,376.33,48741781,0,9
2021-09-14 16:00:00,375.26,41826624,1,9
2021-09-15 16:00:00,378.05,34097865,2,9
2021-09-16 16:00:00,378.31,35193083,3,9
2021-09-17 16:00:00,373.83,60912267,4,9
2021-09-20 16:00:00,365.7,76203202,0,9
2021-09-21 16:00:00,366.15,41927483,1,9
2021-09-22 16:00:00,369.57,46972920,2,9
2021-09-23 16:00:00,372.98,44652002,3,9
2021-09-24 16:00:00,373.33,36056800,4,9
2021-09-27 16:00:00,370.35,43338079,0,9
2021-09-28 16:00:00,359.87,97701632,1,9
2021-09-29 16:00:00,359.28,58076621,2,9
2021-09-30 16:00:00,357.96,61384577,3,9
2021-10-01 16:00:00,360.18,56375488,4,10
2021-10-04 16:00:00,352.62,76766005,0,10
2021-10-05 16:00:00,357.38,47232904,1,10
2021-10-06 16:00:00,359.67,56806536,2,10
2021-10-07 16:00:00,362.97,39411172,3,10
2021-10-08 16:00:00,361.16,41822309,4,10
2021-10-11 16:00:00,358.39,34847182,0,10
2021-10-12 16:00:00,357.14,43905101,1,10
2021-10-13 16:00:00,360.0,40120795,2,10
2021-10-14 16:00:00,366.63,43433867,3,10
2021-10-15 16:00:00,368.94,40419878,4,10
2021-10-18 16:00:00,372.65,34513514,0,10
2021-10-19 16:00:00,375.47,29090963,1,10
2021-10-20 16:00:00,374.98,31390338,2,10
2021-10-21 16:00:00,377.27,25469277,3,10
2021-10-22 16:00:00,374.1,36275822,4,10
2021-10-25 16:00:00,377.93,32597804,0,10
2021-10-26 16:00:00,379.12,47191279,1,10
2021-10-27 16:00:00,380.0,45760496,2,10
2021-10-28 16:00:00,384.22,38007005,3,10
2021-10-29 16:00:00,386.11,37310116,4,10
2021-11-01 16:00:00,387.43,30765303,0,11
2021-11-02 16:00:00,389.05,25135292,1,11
2021-11-03 16:00:00,393.18,33748901,2,11
2021-11-04 16:00:00,398.22,40265313,3,11
2021-11-05 16:00:00,398.6,43383802,4,11
2021-11-08 16:00:00,398.06,29256270,0,11
2021-11-09 16:00:00,395.32,50490720,1,11
2021-11-10 16:00:00,389.51,54937385,2,11
2021-11-11 16:00:00,390.59,32242983,3,11
2021-11-12 16:00:00,394.7,34730564,4,11
2021-11-15 16:00:00,394.61,33716861,0,11
2021-11-16 16:00:00,397.42,27872940,1,11
2021-11-17 16:00:00,397.63,28703263,2,11
2021-11-18 16:00:00,401.75,45721515,3,11
2021-11-19 16:00:00,403.99,45191721,4,11
2021-11-22 16:00:00,399.3,61715370,0,11
2021-11-23 16:00:00,397.48,70098736,1,11
2021-11-24 16:00:00,398.76,46954382,2,11
2021-11-26 13:00:00,391.2,51533314,4,11
2021-11-29 16:00:00,399.69,54447106,0,11
2021-11-30 16:00:00,393.82,81332693,1,11
2021-12-01 16:00:00,387.12,78379245,2,12
2021-12-02 16:00:00,389.91,84416623,3,12
2021-12-03 16:00:00,383.13,105349104,4,12
2021-12-06 16:00:00,386.2,67588801,0,12
2021-12-07 16:00:00,397.83,56005264,1,12
2021-12-08 16:00:00,399.61,39204041,2,12
2021-12-09 16:00:00,393.73,49973714,3,12
2021-12-10 16:00:00,398.01,52545767,4,12
2021-12-13 16:00:00,392.26,50166410,0,12
2021-12-14 16:00:00,388.2,75199181,1,12
2021-12-15 16:00:00,397.05,73858028,2,12
2021-12-16 16:00:00,386.84,82591368,3,12
2021-12-17 16:00:00,384.91,81642848,4,12
2021-12-20 16:00:00,380.69,65336827,0,12
2021-12-21 16:00:00,389.21,48899477,1,12
2021-12-22 16:00:00,393.95,37042200,2,12
2021-12-23 16:00:00,396.92,29595536,3,12
2021-12-27 16:00:00,403.48,32820705,0,12
2021-12-28 16:00:00,401.61,33113728,1,12
2021-12-29 16:00:00,401.55,32248484,2,12
2021-12-30 16:00:00,400.35,23850065,3,12
2021-12-31 16:00:00,397.85,34752884,4,12
2022-01-03 16:00:00,401.68,40575854,0,1
2022-01-04 16:00:00,396.47,58027206,1,1
2022-01-05 16:00:00,384.29,75739847,2,1
2022-01-06 16:00:00,384.02,70814324,3,1
2022-01-07 16:00:00,379.86,72652304,4,1
2022-01-10 16:00:00,380.11,91770497,0,1
2022-01-11 16:00:00,385.82,68295698,1,1
2022-01-12 16:00:00,387.35,54576366,2,1
2022-01-13 16:00:00,377.66,77993962,3,1
2022-01-14 16:00:00,380.01,80121210,4,1
2022-01-18 16:00:00,370.55,75812296,1,1
2022-01-19 16:00:00,366.48,81791482,2,1
2022-01-20 16:00:00,361.72,88610680,3,1
2022-01-21 16:00:00,351.69,143388920,4,1
2022-01-24 16:00:00,353.3,199448109,0,1
2022-01-25 16:00:00,345.11,124398394,1,1
2022-01-26 16:00:00,344.57,146559524,2,1
2022-01-27 16:00:00,341.1,95255656,3,1
2022-01-28 16:00:00,351.8,108167897,4,1
2022-01-31 16:00:00,363.05,94326389,0,1
2022-02-01 16:00:00,365.52,74433023,1,2
2022-02-02 16:00:00,368.49,78777135,2,2
2022-02-03 16:00:00,353.55,95384771,3,2
2022-02-04 16:00:00,358.01,86318301,4,2
2022-02-07 16:00:00,355.13,58198087,0,2
2022-02-08 16:00:00,359.12,64720897,1,2
2022-02-09 16:00:00,366.73,55766422,2,2
2022-02-10 16:00:00,358.43,112468483,3,2
2022-02-11 16:00:00,347.06,101569102,4,2
2022-02-14 16:00:00,347.49,80254439,0,2
2022-02-15 16:00:00,356.13,55390805,1,2
2022-02-16 16:00:00,356.04,58947086,2,2
2022-02-17 16:00:00,345.45,61801353,3,2
2022-02-18 16:00:00,341.51,80001513,4,2
2022-02-22 16:00:00,338.08,85967095,1,2
2022-02-23 16:00:00,329.42,86215371,2,2
2022-02-24 16:00:00,340.49,130614053,3,2
2022-02-25 16:00:00,345.77,78842088,4,2
2022-02-28 16:00:00,346.8,77515544,0,2
2022-03-01 16:00:00,341.49,67407000,1,3
2022-03-02 16:00:00,347.22,70609015,2,3
2022-03-03 16:00:00,342.26,71089385,3,3
2022-03-04 16:00:00,337.3,77009763,4,3
2022-03-07 16:00:00,324.86,89933794,0,3
2022-03-08 16:00:00,323.35,116153921,1,3
2022-03-09 16:00:00,334.99,64723366,2,3
2022-03-10 16:00:00,331.27,69362714,3,3
2022-03-11 16:00:00,324.4,66228432,4,3
2022-03-14 16:00:00,318.17,79802606,0,3
2022-03-15 16:00:00,328.15,76470991,1,3
2022-03-16 16:00:00,340.32,105242954,2,3
2022-03-17 16:00:00,344.44,67809951,3,3
2022-03-18 16:00:00,351.49,85446347,4,3
2022-03-21 16:00:00,350.08,73799072,0,3
